,SalePrice,SalePrice (formatted),Neighborhood,Year Built
230,85000,"$85,000",Sawyer,1927
231,128000,"$128,000",Sawyer,1950
232,260000,"$260,000",ClearCr,1979
233,230000,"$230,000",ClearCr,1978
234,124000,"$124,000",Edwards,1938
235,83000,"$83,000",Edwards,1920
236,144500,"$144,500",Edwards,1950
237,129000,"$129,000",Edwards,1956
238,127000,"$127,000",Edwards,1947
239,128000,"$128,000",Edwards,1954
240,186000,"$186,000",Edwards,2009
241,308030,"$308,030",Edwards,2009
242,114000,"$114,000",Edwards,1964
243,84900,"$84,900",Edwards,1946
244,178000,"$178,000",SawyerW,1985
245,270000,"$270,000",SawyerW,1987
246,218000,"$218,000",SawyerW,1993
247,236000,"$236,000",SawyerW,1993
248,147000,"$147,000",SawyerW,1992
249,245350,"$245,350",CollgCr,2008
250,206000,"$206,000",CollgCr,2006
251,198900,"$198,900",CollgCr,2009
252,187000,"$187,000",CollgCr,2010
253,320000,"$320,000",SawyerW,1990
254,138500,"$138,500",SawyerW,1900
255,155000,"$155,000",ClearCr,1971
256,159000,"$159,000",CollgCr,1996
257,191000,"$191,000",CollgCr,1997
258,200500,"$200,500",CollgCr,1998
259,150000,"$150,000",CollgCr,1977
260,161750,"$161,750",CollgCr,1977
261,128200,"$128,200",CollgCr,1976
262,127000,"$127,000",CollgCr,1972
263,318000,"$318,000",CollgCr,2003
264,272000,"$272,000",CollgCr,2001
265,237000,"$237,000",CollgCr,2003
266,240000,"$240,000",CollgCr,1997
267,224900,"$224,900",CollgCr,1998
268,143750,"$143,750",CollgCr,2003
269,143000,"$143,000",CollgCr,2004
270,232000,"$232,000",CollgCr,2003
271,213000,"$213,000",CollgCr,2004
272,185500,"$185,500",CollgCr,2004
273,84900,"$84,900",Edwards,1945
274,155891,"$155,891",Edwards,1954
275,100000,"$100,000",Edwards,1965
276,144000,"$144,000",Edwards,1968
277,64000,"$64,000",Edwards,1948
278,125200,"$125,200",Edwards,1975
279,107000,"$107,000",Edwards,1976
280,90000,"$90,000",Edwards,1958
281,140000,"$140,000",Edwards,2003
282,113000,"$113,000",Edwards,1945
283,80000,"$80,000",Edwards,1941
284,144500,"$144,500",Edwards,1957
285,104000,"$104,000",SWISU,1924
286,128000,"$128,000",SWISU,1915
287,58500,"$58,500",Edwards,1914
288,127000,"$127,000",SWISU,1924
289,126000,"$126,000",SWISU,1939
290,160000,"$160,000",SWISU,1967
291,100000,"$100,000",SWISU,1931
292,169000,"$169,000",SWISU,1919
293,257500,"$257,500",Crawfor,1941
294,215000,"$215,000",Crawfor,1950
295,266500,"$266,500",Crawfor,1941
296,335000,"$335,000",Crawfor,1959
297,203135,"$203,135",Crawfor,1994
298,185000,"$185,000",Blueste,1989
299,162500,"$162,500",Blueste,1989
300,289000,"$289,000",Crawfor,1959
301,125500,"$125,500",IDOTRR,1922
302,82000,"$82,000",IDOTRR,1941
303,110000,"$110,000",IDOTRR,1921
304,68400,"$68,400",IDOTRR,1920
305,102776,"$102,776",IDOTRR,1900
306,55993,"$55,993",IDOTRR,1952
307,50138,"$50,138",IDOTRR,1896
308,246000,"$246,000",Crawfor,2004
309,254900,"$254,900",Mitchel,1998
310,190000,"$190,000",Mitchel,1977
311,201000,"$201,000",Mitchel,2003
312,169900,"$169,900",Mitchel,1976
313,170000,"$170,000",Mitchel,1976
314,160000,"$160,000",Timber,1948
315,220000,"$220,000",Timber,2008
316,179781,"$179,781",Timber,2009
317,174000,"$174,000",Timber,2006
318,269500,"$269,500",Timber,2009
319,214900,"$214,900",Timber,2002
320,202900,"$202,900",Timber,2002
321,378500,"$378,500",Timber,2008
322,169000,"$169,000",Mitchel,1965
323,173500,"$173,500",Mitchel,2004
324,139000,"$139,000",Mitchel,1971
325,166500,"$166,500",Mitchel,1999
326,83500,"$83,500",MeadowV,1973
327,119500,"$119,500",MeadowV,1973
328,85000,"$85,000",MeadowV,1976
329,76000,"$76,000",MeadowV,1970
330,75500,"$75,500",MeadowV,1972
331,88250,"$88,250",MeadowV,1970
332,85500,"$85,500",MeadowV,1972
333,130000,"$130,000",Mitchel,1971
334,157900,"$157,900",Mitchel,1962
335,149900,"$149,900",Mitchel,1984
336,159000,"$159,000",Mitchel,1985
337,136000,"$136,000",Mitchel,1991
338,161000,"$161,000",Mitchel,1969
339,285000,"$285,000",Mitchel,1994
340,231000,"$231,000",Mitchel,1993
341,124500,"$124,500",NAmes,1956
342,157000,"$157,000",NAmes,1974
343,345000,"$345,000",NAmes,1972
344,189500,"$189,500",Gilbert,1997
345,270000,"$270,000",Gilbert,2003
346,189000,"$189,000",Gilbert,1996
347,377500,"$377,500",Gilbert,2006
348,168500,"$168,500",Gilbert,1995
349,375000,"$375,000",StoneBr,2004
350,278000,"$278,000",StoneBr,2000
351,240000,"$240,000",StoneBr,1998
352,239500,"$239,500",StoneBr,1995
353,177500,"$177,500",Gilbert,1998
354,185000,"$185,000",Gilbert,1998
355,191000,"$191,000",Gilbert,1998
356,178000,"$178,000",Gilbert,1993
357,185000,"$185,000",Gilbert,1993
358,181316,"$181,316",Gilbert,1994
359,166000,"$166,000",Gilbert,1993
360,178000,"$178,000",Gilbert,1992
361,174000,"$174,000",Gilbert,1994
362,173000,"$173,000",Gilbert,1992
363,225000,"$225,000",Gilbert,1999
364,180500,"$180,500",Gilbert,1990
365,187500,"$187,500",StoneBr,1984
366,501837,"$501,837",StoneBr,2008
367,372500,"$372,500",StoneBr,2008
368,260000,"$260,000",StoneBr,2005
369,185000,"$185,000",Gilbert,1977
370,260000,"$260,000",NWAmes,1980
371,181000,"$181,000",NWAmes,1979
372,82500,"$82,500",NWAmes,1977
373,215000,"$215,000",NWAmes,1977
374,154000,"$154,000",NWAmes,1978
375,200000,"$200,000",NWAmes,1978
376,249000,"$249,000",NWAmes,1980
377,187500,"$187,500",NWAmes,1980
378,184000,"$184,000",NWAmes,1978
379,278000,"$278,000",NWAmes,1981
380,157000,"$157,000",NWAmes,1978
381,152000,"$152,000",NWAmes,1976
382,197500,"$197,500",NWAmes,1976
383,240900,"$240,900",Somerst,2003
384,263435,"$263,435",Somerst,2009
385,220000,"$220,000",Somerst,2000
386,235000,"$235,000",Somerst,2002
387,213000,"$213,000",NWAmes,1975
388,167900,"$167,900",NWAmes,1974
389,158000,"$158,000",NWAmes,1975
390,165000,"$165,000",NWAmes,1974
391,158000,"$158,000",NWAmes,1972
392,136000,"$136,000",NAmes,1974
393,148500,"$148,500",NAmes,1970
394,156000,"$156,000",NAmes,1969
395,128000,"$128,000",NAmes,1970
396,143000,"$143,000",NAmes,1971
397,76500,"$76,500",NAmes,1970
398,120500,"$120,500",NAmes,1970
399,124500,"$124,500",NAmes,1970
400,97000,"$97,000",NAmes,1971
401,130000,"$130,000",NAmes,1971
402,111000,"$111,000",BrDale,1973
403,125000,"$125,000",BrDale,1970
404,112000,"$112,000",BrDale,1971
405,97000,"$97,000",BrDale,1972
406,118000,"$118,000",BrDale,1972
407,119500,"$119,500",BrDale,1972
408,143750,"$143,750",NPkVill,1976
409,146000,"$146,000",NPkVill,1976
410,148500,"$148,500",NPkVill,1976
411,123000,"$123,000",NPkVill,1975
412,147000,"$147,000",NPkVill,1974
413,137900,"$137,900",NPkVill,1977
414,147000,"$147,000",NPkVill,1978
415,148500,"$148,500",NPkVill,1978
416,138000,"$138,000",NPkVill,1978
417,128500,"$128,500",NPkVill,1976
418,100000,"$100,000",NAmes,1967
419,148800,"$148,800",NAmes,1966
420,337500,"$337,500",NridgHt,2006
421,462000,"$462,000",NridgHt,2007
422,485000,"$485,000",NridgHt,2008
423,555000,"$555,000",NridgHt,2008
424,325000,"$325,000",NridgHt,2006
425,256300,"$256,300",NridgHt,2007
426,253293,"$253,293",NridgHt,2008
427,398800,"$398,800",NridgHt,2009
428,335000,"$335,000",NridgHt,2008
429,404000,"$404,000",NridgHt,2008
430,402861,"$402,861",NridgHt,2009
431,451950,"$451,950",NridgHt,2008
432,610000,"$610,000",NridgHt,2007
433,582933,"$582,933",NridgHt,2008
434,360000,"$360,000",NridgHt,2008
435,296000,"$296,000",NridgHt,2004
436,409900,"$409,900",NridgHt,2007
437,255500,"$255,500",NridgHt,2006
438,335000,"$335,000",NridgHt,2008
439,274900,"$274,900",NridgHt,2004
440,300000,"$300,000",NridgHt,2006
441,324000,"$324,000",NridgHt,2008
442,350000,"$350,000",NridgHt,2004
443,280000,"$280,000",NridgHt,2004
444,284000,"$284,000",NridgHt,2003
445,269500,"$269,500",NridgHt,2003
446,233170,"$233,170",NridgHt,2009
447,386250,"$386,250",NridgHt,2003
448,445000,"$445,000",NridgHt,2003
449,290000,"$290,000",NridgHt,2003
450,255900,"$255,900",NridgHt,2006
451,213000,"$213,000",NridgHt,2005
452,196000,"$196,000",NridgHt,2005
453,184500,"$184,500",NridgHt,2005
454,212500,"$212,500",NridgHt,2007
455,230000,"$230,000",NridgHt,2007
456,552000,"$552,000",NridgHt,2004
457,382500,"$382,500",NridgHt,2003
458,320000,"$320,000",NridgHt,2008
459,248500,"$248,500",NridgHt,2008
460,286500,"$286,500",NridgHt,2002
461,254000,"$254,000",NridgHt,2006
462,173000,"$173,000",NridgHt,2003
463,173000,"$173,000",NridgHt,2003
464,184000,"$184,000",Gilbert,2005
465,167800,"$167,800",Gilbert,2005
466,174000,"$174,000",Gilbert,2005
467,174000,"$174,000",Gilbert,2005
468,174000,"$174,000",Blmngtn,2007
469,175900,"$175,900",Blmngtn,2007
470,192500,"$192,500",Blmngtn,2005
471,181000,"$181,000",Blmngtn,2005
472,180000,"$180,000",Blmngtn,2005
473,160200,"$160,200",Blmngtn,2005
474,188500,"$188,500",Gilbert,2004
475,200000,"$200,000",Gilbert,2002
476,170000,"$170,000",Gilbert,2004
477,189500,"$189,500",Gilbert,2004
478,184100,"$184,100",Gilbert,2002
479,195500,"$195,500",Gilbert,2004
480,192000,"$192,000",Gilbert,2003
481,178000,"$178,000",Gilbert,2003
482,207500,"$207,500",NridgHt,2007
483,236000,"$236,000",Gilbert,2000
484,257500,"$257,500",Gilbert,2002
485,244000,"$244,000",Gilbert,2000
486,167000,"$167,000",Gilbert,2004
487,179000,"$179,000",Gilbert,2000
488,190000,"$190,000",Gilbert,2000
489,156000,"$156,000",Gilbert,1999
490,245000,"$245,000",Gilbert,1999
491,181000,"$181,000",Gilbert,1999
492,214000,"$214,000",Gilbert,1999
493,168000,"$168,000",Gilbert,1999
494,337000,"$337,000",NoRidge,1999
495,403000,"$403,000",NoRidge,1995
496,327000,"$327,000",NoRidge,2000
497,340000,"$340,000",NoRidge,1998
498,336000,"$336,000",NoRidge,1998
499,265000,"$265,000",NoRidge,1996
500,315000,"$315,000",NoRidge,1994
501,260000,"$260,000",NoRidge,1993
502,260000,"$260,000",NoRidge,1995
503,263550,"$263,550",NoRidge,1993
504,402000,"$402,000",NoRidge,1994
505,248000,"$248,000",NoRidge,1994
506,244600,"$244,600",Somerst,2008
507,275000,"$275,000",Somerst,2008
508,257500,"$257,500",Somerst,2008
509,287090,"$287,090",Somerst,2008
510,275500,"$275,500",Somerst,2007
511,245000,"$245,000",Somerst,2006
512,253000,"$253,000",Somerst,2005
513,468000,"$468,000",Somerst,2005
514,252678,"$252,678",Somerst,2009
515,210000,"$210,000",Somerst,2008
516,208300,"$208,300",Somerst,2009
517,225000,"$225,000",Somerst,2008
518,229456,"$229,456",Somerst,2009
519,229800,"$229,800",Somerst,2008
520,250000,"$250,000",Somerst,2007
521,370878,"$370,878",Somerst,2009
522,238500,"$238,500",Somerst,2006
523,310000,"$310,000",Somerst,2008
524,270000,"$270,000",Somerst,2006
525,252000,"$252,000",Somerst,2005
526,241000,"$241,000",Somerst,2006
527,264500,"$264,500",Somerst,2008
528,291000,"$291,000",Somerst,2006
529,263000,"$263,000",Somerst,2003
530,185000,"$185,000",Somerst,2004
531,234500,"$234,500",Somerst,2003
532,209000,"$209,000",Somerst,2003
533,159000,"$159,000",SawyerW,2007
534,152000,"$152,000",SawyerW,2006
535,143500,"$143,500",SawyerW,2004
536,193000,"$193,000",SawyerW,2004
537,203000,"$203,000",SawyerW,2004
538,184900,"$184,900",SawyerW,2003
539,159000,"$159,000",SawyerW,2004
540,142000,"$142,000",SawyerW,2004
541,153000,"$153,000",SawyerW,2003
542,224243,"$224,243",SawyerW,2008
543,220000,"$220,000",SawyerW,1996
544,257000,"$257,000",SawyerW,2005
545,189000,"$189,000",SawyerW,2001
546,171500,"$171,500",SawyerW,1992
547,120000,"$120,000",SawyerW,1980
548,145000,"$145,000",SawyerW,1990
549,184000,"$184,000",SawyerW,1994
550,162000,"$162,000",SawyerW,1986
551,160000,"$160,000",SawyerW,1981
552,82000,"$82,000",SawyerW,1950
553,76000,"$76,000",SawyerW,1928
554,110000,"$110,000",Sawyer,1962
555,135000,"$135,000",Sawyer,1977
556,141000,"$141,000",Sawyer,1961
557,122000,"$122,000",Sawyer,1961
558,124100,"$124,100",Sawyer,1965
559,129000,"$129,000",Sawyer,1963
560,131400,"$131,400",Sawyer,1961
561,62383,"$62,383",Sawyer,1965
562,123000,"$123,000",Sawyer,1962
563,275000,"$275,000",Veenker,1980
564,235000,"$235,000",NoRidge,1991
565,280750,"$280,750",Somerst,2004
566,164500,"$164,500",Somerst,2009
567,173733,"$173,733",Somerst,2009
568,222000,"$222,000",Somerst,2008
569,195000,"$195,000",Somerst,2008
570,172500,"$172,500",Somerst,1999
571,180000,"$180,000",Somerst,2000
572,156000,"$156,000",Somerst,1999
573,172500,"$172,500",Somerst,1999
574,318750,"$318,750",Veenker,1977
575,211500,"$211,500",Greens,1981
576,241600,"$241,600",Veenker,1981
577,180500,"$180,500",Veenker,1976
578,150000,"$150,000",Sawyer,1976
579,154000,"$154,000",NWAmes,1968
580,185000,"$185,000",NWAmes,1970
581,185750,"$185,750",NWAmes,1968
582,200000,"$200,000",NWAmes,1973
583,206000,"$206,000",NWAmes,1974
584,162000,"$162,000",NWAmes,1972
585,256900,"$256,900",NWAmes,1967
586,197900,"$197,900",NWAmes,1967
587,163000,"$163,000",NWAmes,1969
588,113000,"$113,000",NWAmes,1969
589,230000,"$230,000",NWAmes,1977
590,167900,"$167,900",NWAmes,1977
591,213250,"$213,250",NWAmes,1998
592,227000,"$227,000",NWAmes,2001
593,130000,"$130,000",NAmes,1967
594,143000,"$143,000",NAmes,1967
595,117500,"$117,500",NAmes,1965
596,168500,"$168,500",NWAmes,1974
597,172500,"$172,500",NWAmes,1971
598,161500,"$161,500",NWAmes,1967
599,141500,"$141,500",NAmes,1960
600,118000,"$118,000",NAmes,1959
601,127500,"$127,500",NAmes,1959
602,140000,"$140,000",NAmes,1957
603,177625,"$177,625",NAmes,1956
604,110000,"$110,000",NAmes,1958
605,167000,"$167,000",NAmes,1964
606,153000,"$153,000",NAmes,1961
607,145100,"$145,100",NAmes,1964
608,154000,"$154,000",NAmes,1966
609,177500,"$177,500",NAmes,1965
610,158000,"$158,000",NAmes,1964
611,124500,"$124,500",NAmes,1959
612,174500,"$174,500",NAmes,1961
613,122000,"$122,000",NAmes,1955
614,82500,"$82,500",BrkSide,1940
615,110000,"$110,000",BrkSide,1950
616,149500,"$149,500",NAmes,1953
617,175000,"$175,000",NAmes,1967
618,167000,"$167,000",NAmes,1953
619,128900,"$128,900",NAmes,1956
620,140000,"$140,000",NAmes,1950
621,147000,"$147,000",NAmes,1950
622,124000,"$124,000",NAmes,1967
623,187500,"$187,500",NAmes,1961
624,159000,"$159,000",NAmes,1963
625,256000,"$256,000",NAmes,1966
626,205000,"$205,000",NAmes,1965
627,193500,"$193,500",NAmes,1968
628,110000,"$110,000",NAmes,1968
629,104900,"$104,900",NAmes,1920
630,150000,"$150,000",NAmes,1956
631,156500,"$156,500",NAmes,1957
632,176000,"$176,000",NAmes,1960
633,149500,"$149,500",NAmes,1959
634,139000,"$139,000",NAmes,1958
635,155000,"$155,000",NAmes,1958
636,120000,"$120,000",NAmes,1956
637,153000,"$153,000",NAmes,1955
638,144000,"$144,000",NAmes,1956
639,176000,"$176,000",NAmes,1962
640,153000,"$153,000",NAmes,1954
641,135000,"$135,000",NAmes,1958
642,131000,"$131,000",NAmes,1954
643,123000,"$123,000",NAmes,1953
644,126000,"$126,000",NAmes,1951
645,115000,"$115,000",NAmes,1955
646,164900,"$164,900",NAmes,1951
647,113000,"$113,000",NAmes,1945
648,145500,"$145,500",NAmes,1952
649,102900,"$102,900",NAmes,1953
650,95000,"$95,000",OldTown,1900
651,152500,"$152,500",NAmes,1948
652,129900,"$129,900",NAmes,1950
653,132000,"$132,000",NAmes,1948
654,99900,"$99,900",OldTown,1958
655,135000,"$135,000",OldTown,1916
656,149000,"$149,000",OldTown,1939
657,114000,"$114,000",OldTown,1900
658,109500,"$109,500",OldTown,1924
659,125000,"$125,000",OldTown,1925
660,142900,"$142,900",OldTown,1915
661,156500,"$156,500",OldTown,1910
662,59000,"$59,000",OldTown,1940
663,105000,"$105,000",OldTown,1920
664,106000,"$106,000",OldTown,1920
665,78500,"$78,500",OldTown,1890
666,190000,"$190,000",NAmes,1969
667,154000,"$154,000",NAmes,1963
668,163000,"$163,000",NAmes,1967
669,200000,"$200,000",NAmes,1969
670,143500,"$143,500",NAmes,1958
671,135000,"$135,000",NAmes,1957
672,153000,"$153,000",NAmes,1957
673,157500,"$157,500",NAmes,1960
674,113500,"$113,500",NAmes,1958
675,133000,"$133,000",NAmes,1949
676,92900,"$92,900",NAmes,1950
677,128500,"$128,500",NAmes,1950
678,90000,"$90,000",NAmes,1949
679,138000,"$138,000",NAmes,1950
680,128000,"$128,000",NAmes,1958
681,139000,"$139,000",NAmes,1958
682,118900,"$118,900",NAmes,1952
683,138000,"$138,000",NAmes,1959
684,132500,"$132,500",NAmes,1959
685,133500,"$133,500",NAmes,1949
686,135000,"$135,000",NAmes,1948
687,144750,"$144,750",NAmes,1964
688,145000,"$145,000",NAmes,1978
689,127000,"$127,000",NAmes,1963
690,109500,"$109,500",NAmes,1962
691,115000,"$115,000",OldTown,1926
692,110000,"$110,000",OldTown,1910
693,128900,"$128,900",OldTown,1935
694,103500,"$103,500",OldTown,1910
695,66500,"$66,500",OldTown,1941
696,130000,"$130,000",OldTown,1910
697,129000,"$129,000",OldTown,1910
698,150000,"$150,000",OldTown,1939
699,107500,"$107,500",OldTown,1892
700,94550,"$94,550",OldTown,1920
701,124500,"$124,500",OldTown,1952
702,135000,"$135,000",OldTown,1946
703,103000,"$103,000",OldTown,1910
704,93000,"$93,000",OldTown,1953
705,129500,"$129,500",OldTown,1950
706,93000,"$93,000",OldTown,1954
707,80000,"$80,000",OldTown,1920
708,45000,"$45,000",OldTown,1940
709,37900,"$37,900",OldTown,1910
710,91300,"$91,300",OldTown,1938
711,99500,"$99,500",OldTown,1923
712,113000,"$113,000",OldTown,1920
